Quarter,Department,Location,Category,Budgeted_Amount,Actual_Spending
Q1 2023,HR,Chicago,Legal Fees,66725,467316
Q1 2023,HR,Dallas,Salaries,130981,195043
Q1 2023,HR,Dallas,Office Supplies,85654,258031
Q1 2023,HR,Dallas,Travel,954277,774389
Q1 2023,HR,Dallas,Training,906778,618223
Q1 2023,HR,Dallas,Equipment,592723,591442
Q1 2023,HR,Dallas,Utilities,320030,637831
Q1 2023,HR,Dallas,Miscellaneous,329947,769541
Q1 2023,HR,Dallas,Marketing,556839,916894
Q1 2023,HR,Dallas,Consulting,903648,95857
Q1 2023,HR,Dallas,Maintenance,274538,1087785
Q1 2023,HR,Dallas,Software Licenses,332236,247689
Q1 2023,HR,Dallas,Healthcare,529178,428486
Q1 2023,HR,Dallas,Security,566894,150257
Q1 2023,HR,Dallas,Catering,490492,324660
Q1 2023,HR,Dallas,Transportation,257840,876384
Q1 2023,HR,Dallas,Legal Fees,474254,1075758
Q1 2023,HR,Boston,Salaries,350457,77475
Q1 2023,HR,Boston,Office Supplies,666987,1015900
Q1 2023,HR,Boston,Travel,271936,547507
Q1 2023,HR,Boston,Training,240931,1011625
Q1 2023,HR,Boston,Equipment,240629,82038
Q1 2023,HR,Boston,Utilities,206041,1043336
Q1 2023,HR,Boston,Miscellaneous,699361,275341
Q1 2023,HR,Boston,Marketing,732912,1084545
Q1 2023,HR,Boston,Consulting,418113,587270
Q1 2023,HR,Boston,Maintenance,69148,879708
Q1 2023,HR,Boston,Software Licenses,778089,178016
Q1 2023,HR,Boston,Healthcare,649531,455788
Q1 2023,HR,Boston,Security,252995,80160
Q1 2023,HR,Boston,Catering,907606,439663
Q1 2023,HR,Boston,Transportation,679843,124462
Q1 2023,HR,Boston,Legal Fees,911790,798206
Q1 2023,HR,Los Angeles,Salaries,573843,637238
Q1 2023,HR,Los Angeles,Office Supplies,257508,475568
Q1 2023,HR,Los Angeles,Travel,804591,225921
Q1 2023,HR,Los Angeles,Training,897942,926381
Q1 2023,HR,Los Angeles,Equipment,107530,823722
Q1 2023,HR,Los Angeles,Utilities,605365,649801
Q1 2023,HR,Los Angeles,Miscellaneous,823352,625562
Q1 2023,HR,Los Angeles,Marketing,461337,1001840
Q1 2023,HR,Los Angeles,Consulting,725839,932110
Q1 2023,HR,Los Angeles,Maintenance,806889,210217
Q1 2023,HR,Los Angeles,Software Licenses,460773,212263
Q1 2023,HR,Los Angeles,Healthcare,209261,894644
Q1 2023,HR,Los Angeles,Security,765469,269402
Q1 2023,HR,Los Angeles,Catering,342097,298468
Q1 2023,HR,Los Angeles,Transportation,316139,663013
Q1 2023,HR,Los Angeles,Legal Fees,172829,543408
Q1 2023,HR,Seattle,Salaries,272836,94954
Q1 2023,HR,Seattle,Office Supplies,439974,577331
Q1 2023,HR,Seattle,Travel,990913,411368
Q1 2023,HR,Seattle,Training,203283,94276
Q1 2023,HR,Seattle,Equipment,197769,115360
Q1 2023,HR,Seattle,Utilities,562353,921507
Q1 2023,HR,Seattle,Miscellaneous,224165,870041
Q1 2023,HR,Seattle,Marketing,624587,550456
Q1 2023,HR,Seattle,Consulting,951110,1601
Q1 2023,HR,Seattle,Maintenance,536822,631626
Q1 2023,HR,Seattle,Software Licenses,488879,899433
Q1 2023,HR,Seattle,Healthcare,565685,610357
Q1 2023,HR,Seattle,Security,783038,928273
Q1 2023,HR,Seattle,Catering,354531,298913
Q1 2023,HR,Seattle,Transportation,264160,92479
Q1 2023,HR,Seattle,Legal Fees,580879,681865
Q1 2023,HR,Austin,Salaries,221884,928276
Q1 2023,HR,Austin,Office Supplies,24247,613036
Q1 2023,HR,Austin,Travel,25300,277799
Q1 2023,HR,Austin,Training,468281,430185
Q1 2023,HR,Austin,Equipment,608086,178276
Q1 2023,HR,Austin,Utilities,534556,650162
Q1 2023,HR,Austin,Miscellaneous,349951,579525
Q1 2023,HR,Austin,Marketing,275329,157610
Q1 2023,HR,Austin,Consulting,720064,925076
Q1 2023,HR,Austin,Maintenance,743139,1069107
Q1 2023,HR,Austin,Software Licenses,433315,666291
Q1 2023,HR,Austin,Healthcare,927075,853556
Q1 2023,HR,Austin,Security,517588,185969
Q1 2023,HR,Austin,Catering,237584,265833
Q1 2023,HR,Austin,Transportation,563332,534657
Q1 2023,HR,Austin,Legal Fees,838646,209342
Q1 2023,HR,Miami,Salaries,979732,520035
Q1 2023,HR,Miami,Office Supplies,377896,794844
Q1 2023,HR,Miami,Travel,49984,421347
Q1 2023,HR,Miami,Training,303918,843129
Q1 2023,HR,Miami,Equipment,265712,889776
Q1 2023,HR,Miami,Utilities,121151,175388
Q1 2023,HR,Miami,Miscellaneous,456808,125546
Q1 2023,HR,Miami,Marketing,986067,545519
Q1 2023,HR,Miami,Consulting,134767,1034090
Q1 2023,HR,Miami,Maintenance,649663,432031
Q1 2023,HR,Miami,Software Licenses,704550,756198
Q1 2023,HR,Miami,Healthcare,137330,556473
Q1 2023,HR,Miami,Security,481754,333143
Q1 2023,HR,Miami,Catering,302648,1062194
Q1 2023,HR,Miami,Transportation,689519,482238
Q1 2023,HR,Miami,Legal Fees,14986,325945
Q1 2023,HR,Denver,Salaries,587146,155849
Q1 2023,HR,Denver,Office Supplies,130312,574920
Q1 2023,HR,Denver,Travel,13666,609078
Q1 2023,HR,Denver,Training,301804,46584
Q1 2023,HR,Denver,Equipment,135633,1059297
Q1 2023,HR,Denver,Utilities,289998,614594
Q1 2023,HR,Denver,Miscellaneous,851937,1054298
Q1 2023,HR,Denver,Marketing,629776,463944
Q1 2023,HR,Denver,Consulting,708611,806783
Q1 2023,HR,Denver,Maintenance,285806,900551
Q1 2023,HR,Denver,Software Licenses,795824,318617
Q1 2023,HR,Denver,Healthcare,31535,23748
Q1 2023,HR,Denver,Security,997107,617352
Q1 2023,HR,Denver,Catering,376713,59872
Q1 2023,HR,Denver,Transportation,839688,67491
Q1 2023,HR,Denver,Legal Fees,352279,666242
Q1 2023,IT,New York,Salaries,914910,7886
Q1 2023,IT,New York,Office Supplies,822654,390762
Q1 2023,IT,New York,Travel,602661,592941
Q1 2023,IT,New York,Training,998079,802480
Q1 2023,IT,New York,Equipment,648972,943329
Q1 2023,IT,New York,Utilities,490570,764010
Q1 2023,IT,New York,Miscellaneous,457551,573468
Q1 2023,IT,New York,Marketing,274109,116781
Q1 2023,IT,New York,Consulting,25538,167105
Q1 2023,IT,New York,Maintenance,895498,17104
Q1 2023,IT,New York,Software Licenses,202664,1032277
Q1 2023,IT,New York,Healthcare,492234,289369
Q1 2023,IT,New York,Security,900684,724871
Q1 2023,IT,New York,Catering,140182,1024457
Q1 2023,IT,New York,Transportation,473525,1011615
Q1 2023,IT,New York,Legal Fees,159338,403441
Q1 2023,IT,San Francisco,Salaries,185064,618552
Q1 2023,IT,San Francisco,Office Supplies,215020,963294
Q1 2023,IT,San Francisco,Travel,624094,803323
Q1 2023,IT,San Francisco,Training,925414,656162
Q1 2023,IT,San Francisco,Equipment,898421,575499
Q1 2023,IT,San Francisco,Utilities,616270,434974
Q1 2023,IT,San Francisco,Miscellaneous,646914,96496
Q1 2023,IT,San Francisco,Marketing,120176,676867
Q1 2023,IT,San Francisco,Consulting,918710,671408
Q1 2023,IT,San Francisco,Maintenance,219126,970024
Q1 2023,IT,San Francisco,Software Licenses,219969,671197
Q1 2023,IT,San Francisco,Healthcare,123409,68221
Q1 2023,IT,San Francisco,Security,548707,237236
Q1 2023,IT,San Francisco,Catering,969140,482047
Q1 2023,IT,San Francisco,Transportation,254618,1058867
Q1 2023,IT,San Francisco,Legal Fees,770598,117826
Q1 2023,IT,Chicago,Salaries,51015,75604
Q1 2023,IT,Chicago,Office Supplies,773838,880525
Q1 2023,IT,Chicago,Travel,123096,763603
Q1 2023,IT,Chicago,Training,632347,815546
Q1 2023,IT,Chicago,Equipment,186340,488135
Q1 2023,IT,Chicago,Utilities,111687,1033861
Q1 2023,IT,Chicago,Miscellaneous,875371,721789
Q1 2023,IT,Chicago,Marketing,412357,535055
Q1 2023,IT,Chicago,Consulting,736716,482730
Q1 2023,IT,Chicago,Maintenance,106878,29676
Q1 2023,IT,Chicago,Software Licenses,728270,888680
Q1 2023,IT,Chicago,Healthcare,974548,980843
Q1 2023,IT,Chicago,Security,199286,229992
Q1 2023,IT,Chicago,Catering,774290,253113
Q1 2023,IT,Chicago,Transportation,775684,1077637
Q1 2023,IT,Chicago,Legal Fees,165899,1003097
Q1 2023,IT,Dallas,Salaries,974324,1014647
Q1 2023,IT,Dallas,Office Supplies,325767,315244
Q1 2023,IT,Dallas,Travel,862882,143212
Q1 2023,IT,Dallas,Training,880858,820244
Q1 2023,IT,Dallas,Equipment,380989,899560
Q1 2023,IT,Dallas,Utilities,416515,369581
Q1 2023,IT,Dallas,Miscellaneous,44585,673436
Q1 2023,IT,Dallas,Marketing,372369,384883
Q1 2023,IT,Dallas,Consulting,65044,532398
Q1 2023,IT,Dallas,Maintenance,961061,478896
Q1 2023,IT,Dallas,Software Licenses,443296,182493
Q1 2023,IT,Dallas,Healthcare,110556,667052
Q1 2023,IT,Dallas,Security,527981,734746
Q1 2023,IT,Dallas,Catering,882691,954446
Q1 2023,IT,Dallas,Transportation,768595,439695
Q1 2023,IT,Dallas,Legal Fees,201235,173487
Q1 2023,IT,Boston,Salaries,26939,604159
Q1 2023,IT,Boston,Office Supplies,967429,697162
Q1 2023,IT,Boston,Travel,961445,268331
Q1 2023,IT,Boston,Training,153906,655469
Q1 2023,IT,Boston,Equipment,543335,1024239
Q1 2023,IT,Boston,Utilities,289249,302938
Q1 2023,IT,Boston,Miscellaneous,76766,235284
Q1 2023,IT,Boston,Marketing,409923,427741
Q1 2023,IT,Boston,Consulting,416192,656720
Q1 2023,IT,Boston,Maintenance,569550,387154
Q1 2023,IT,Boston,Software Licenses,388261,843797
Q1 2023,IT,Boston,Healthcare,811208,936509
Q1 2023,IT,Boston,Security,686440,388826
Q1 2023,IT,Boston,Catering,653664,88366
Q1 2023,IT,Boston,Transportation,985346,284273
Q1 2023,IT,Boston,Legal Fees,455589,487398
Q1 2023,IT,Los Angeles,Salaries,138848,350254
Q1 2023,IT,Los Angeles,Office Supplies,618075,856851
Q1 2023,IT,Los Angeles,Travel,128948,533837
Q1 2023,IT,Los Angeles,Training,580304,585733
Q1 2023,IT,Los Angeles,Equipment,403690,214733
Q1 2023,IT,Los Angeles,Utilities,500046,1002520
Q1 2023,IT,Los Angeles,Miscellaneous,452269,981013
Q1 2023,IT,Los Angeles,Marketing,22959,149195
Q1 2023,IT,Los Angeles,Consulting,661890,51562
Q1 2023,IT,Los Angeles,Maintenance,751216,589310
Q1 2023,IT,Los Angeles,Software Licenses,906533,428509
Q1 2023,IT,Los Angeles,Healthcare,791180,256339
Q1 2023,IT,Los Angeles,Security,229576,1061589
Q1 2023,IT,Los Angeles,Catering,538833,622455
Q1 2023,IT,Los Angeles,Transportation,915091,1026136
Q1 2023,IT,Los Angeles,Legal Fees,984703,1081959
Q1 2023,IT,Seattle,Salaries,166838,653880
Q1 2023,IT,Seattle,Office Supplies,336674,80744
Q1 2023,IT,Seattle,Travel,880989,1071745
Q1 2023,IT,Seattle,Training,62087,1068886
Q1 2023,IT,Seattle,Equipment,594128,1041244
Q1 2023,IT,Seattle,Utilities,119451,12920
Q1 2023,IT,Seattle,Miscellaneous,448600,624935
Q1 2023,IT,Seattle,Marketing,838437,623663
Q1 2023,IT,Seattle,Consulting,440792,545548
Q1 2023,IT,Seattle,Maintenance,40353,540051
Q1 2023,IT,Seattle,Software Licenses,194075,552416
Q1 2023,IT,Seattle,Healthcare,215283,871861
Q1 2023,IT,Seattle,Security,315877,124834
Q1 2023,IT,Seattle,Catering,66318,633329
Q1 2023,IT,Seattle,Transportation,766313,834830
Q1 2023,IT,Seattle,Legal Fees,483690,192648
Q1 2023,IT,Austin,Salaries,417880,255089
Q1 2023,IT,Austin,Office Supplies,592460,828201
Q1 2023,IT,Austin,Travel,741976,170246
Q1 2023,IT,Austin,Training,782239,63584
Q1 2023,IT,Austin,Equipment,94264,968186
Q1 2023,IT,Austin,Utilities,771746,934232
Q1 2023,IT,Austin,Miscellaneous,814168,1070650
Q1 2023,IT,Austin,Marketing,226281,821648
Q1 2023,IT,Austin,Consulting,638147,218020
Q1 2023,IT,Austin,Maintenance,899613,717158
Q1 2023,IT,Austin,Software Licenses,395070,363378
Q1 2023,IT,Austin,Healthcare,353228,244568
Q1 2023,IT,Austin,Security,432839,1035908
Q1 2023,IT,Austin,Catering,270536,867990
Q1 2023,IT,Austin,Transportation,318824,144235
Q1 2023,IT,Austin,Legal Fees,258426,479165
Q1 2023,IT,Miami,Salaries,178789,962867
Q1 2023,IT,Miami,Office Supplies,514153,817860
Q1 2023,IT,Miami,Travel,743452,1039257
Q1 2023,IT,Miami,Training,838291,929465
Q1 2023,IT,Miami,Equipment,126657,495009
Q1 2023,IT,Miami,Utilities,236167,614198
Q1 2023,IT,Miami,Miscellaneous,682669,265754
Q1 2023,IT,Miami,Marketing,481671,596776
Q1 2023,IT,Miami,Consulting,720094,852780
Q1 2023,IT,Miami,Maintenance,71467,274106
Q1 2023,IT,Miami,Software Licenses,184734,598623
Q1 2023,IT,Miami,Healthcare,623794,401235
Q1 2023,IT,Miami,Security,110751,595952
Q1 2023,IT,Miami,Catering,382050,700593
Q1 2023,IT,Miami,Transportation,931192,514014
Q1 2023,IT,Miami,Legal Fees,812774,782504
Q1 2023,IT,Denver,Salaries,693517,763276
Q1 2023,IT,Denver,Office Supplies,462079,561646
Q1 2023,IT,Denver,Travel,369452,129738
Q1 2023,IT,Denver,Training,970587,797667
Q1 2023,IT,Denver,Equipment,107081,775360
Q1 2023,IT,Denver,Utilities,984237,612882
Q1 2023,IT,Denver,Miscellaneous,614333,881055
Q1 2023,IT,Denver,Marketing,559986,856456
Q1 2023,IT,Denver,Consulting,111078,467241
Q1 2023,IT,Denver,Maintenance,868055,526467
Q1 2023,IT,Denver,Software Licenses,23671,485516
Q1 2023,IT,Denver,Healthcare,419400,639722
Q1 2023,IT,Denver,Security,356528,778667
Q1 2023,IT,Denver,Catering,960611,970109
Q1 2023,IT,Denver,Transportation,611490,406532
Q1 2023,IT,Denver,Legal Fees,52663,735582
Q1 2023,Finance,New York,Salaries,16708,217715
Q1 2023,Finance,New York,Office Supplies,879338,219231
Q1 2023,Finance,New York,Travel,312955,947101
Q1 2023,Finance,New York,Training,134883,662609
Q1 2023,Finance,New York,Equipment,319394,133597
Q1 2023,Finance,New York,Utilities,113547,868638
Q1 2023,Finance,New York,Miscellaneous,990586,1058680
Q1 2023,Finance,New York,Marketing,911681,991362
Q1 2023,Finance,New York,Consulting,560042,126355
Q1 2023,Finance,New York,Maintenance,752102,469024
Q1 2023,Finance,New York,Software Licenses,763002,1034224
Q1 2023,Finance,New York,Healthcare,143483,786690
Q1 2023,Finance,New York,Security,659271,923029
Q1 2023,Finance,New York,Catering,985774,741757
Q1 2023,Finance,New York,Transportation,215835,507089
Q1 2023,Finance,New York,Legal Fees,402896,613295
Q1 2023,Finance,San Francisco,Salaries,85896,198817
Q1 2023,Finance,San Francisco,Office Supplies,478095,1065741
Q1 2023,Finance,San Francisco,Travel,72295,853024
Q1 2023,Finance,San Francisco,Training,744974,721017
Q1 2023,Finance,San Francisco,Equipment,888121,772569
Q1 2023,Finance,San Francisco,Utilities,274255,671864
Q1 2023,Finance,San Francisco,Miscellaneous,300648,161774
Q1 2023,Finance,San Francisco,Marketing,658162,906873
Q1 2023,Finance,San Francisco,Consulting,9155,233166
Q1 2023,Finance,San Francisco,Maintenance,467872,251119
Q1 2023,Finance,San Francisco,Software Licenses,826816,840749
Q1 2023,Finance,San Francisco,Healthcare,375705,34812
Q1 2023,Finance,San Francisco,Security,572542,667575
Q1 2023,Finance,San Francisco,Catering,809350,508530
Q1 2023,Finance,San Francisco,Transportation,611269,32961
Q1 2023,Finance,San Francisco,Legal Fees,979217,455329
Q1 2023,Finance,Chicago,Salaries,555594,247866
Q1 2023,Finance,Chicago,Office Supplies,148718,764777
Q1 2023,Finance,Chicago,Travel,309987,970855
Q1 2023,Finance,Chicago,Training,646263,540003
Q1 2023,Finance,Chicago,Equipment,359745,901342
Q1 2023,Finance,Chicago,Utilities,108512,34912
Q1 2023,Finance,Chicago,Miscellaneous,148443,730211
Q1 2023,Finance,Chicago,Marketing,471587,1051807
Q1 2023,Finance,Chicago,Consulting,374616,849407
Q1 2023,Finance,Chicago,Maintenance,658409,295568
Q1 2023,Finance,Chicago,Software Licenses,687976,62064
Q1 2023,Finance,Chicago,Healthcare,366871,900998
Q1 2023,Finance,Chicago,Security,376037,688118
Q1 2023,Finance,Chicago,Catering,808364,363155
Q1 2023,Finance,Chicago,Transportation,118796,644590
Q1 2023,Finance,Chicago,Legal Fees,292999,443948
Q1 2023,Finance,Dallas,Salaries,193506,657563
Q1 2023,Finance,Dallas,Office Supplies,991198,1001650
Q1 2023,Finance,Dallas,Travel,699376,798071
Q1 2023,Finance,Dallas,Training,270544,983850
Q1 2023,Finance,Dallas,Equipment,381002,495323
Q1 2023,Finance,Dallas,Utilities,699002,226664
Q1 2023,Finance,Dallas,Miscellaneous,540439,623007
Q1 2023,Finance,Dallas,Marketing,969911,712032
Q1 2023,Finance,Dallas,Consulting,591978,642864
Q1 2023,Finance,Dallas,Maintenance,529787,866430
Q1 2023,Finance,Dallas,Software Licenses,531583,131497
Q1 2023,Finance,Dallas,Healthcare,908317,850526
Q1 2023,Finance,Dallas,Security,389215,526877
Q1 2023,Finance,Dallas,Catering,322184,876529
Q1 2023,Finance,Dallas,Transportation,799615,169478
Q1 2023,Finance,Dallas,Legal Fees,423515,432656
Q1 2023,Finance,Boston,Salaries,669234,1086443
Q1 2023,Finance,Boston,Office Supplies,379480,976724
Q1 2023,Finance,Boston,Travel,33711,804589
Q1 2023,Finance,Boston,Training,792971,171723
Q1 2023,Finance,Boston,Equipment,502157,301206
Q1 2023,Finance,Boston,Utilities,185423,518761
Q1 2023,Finance,Boston,Miscellaneous,979771,1036398
Q1 2023,Finance,Boston,Marketing,517349,415550
Q1 2023,Finance,Boston,Consulting,704714,878502
Q1 2023,Finance,Boston,Maintenance,913495,164744
Q1 2023,Finance,Boston,Software Licenses,658917,499753
Q1 2023,Finance,Boston,Healthcare,825792,925993
Q1 2023,Finance,Boston,Security,738378,594191
Q1 2023,Finance,Boston,Catering,134272,873500
Q1 2023,Finance,Boston,Transportation,768836,509885
Q1 2023,Finance,Boston,Legal Fees,987001,562500
Q1 2023,Finance,Los Angeles,Salaries,703335,503650
Q1 2023,Finance,Los Angeles,Office Supplies,808789,1071604
Q1 2023,Finance,Los Angeles,Travel,644409,121427
Q1 2023,Finance,Los Angeles,Training,78505,340868
Q1 2023,Finance,Los Angeles,Equipment,3869,7275
Q1 2023,Finance,Los Angeles,Utilities,782474,753251
Q1 2023,Finance,Los Angeles,Miscellaneous,455351,1001998
Q1 2023,Finance,Los Angeles,Marketing,313252,242182
Q1 2023,Finance,Los Angeles,Consulting,637584,816777
Q1 2023,Finance,Los Angeles,Maintenance,619467,516987
Q1 2023,Finance,Los Angeles,Software Licenses,91272,1017054
Q1 2023,Finance,Los Angeles,Healthcare,39467,724935
Q1 2023,Finance,Los Angeles,Security,810760,430837
Q1 2023,Finance,Los Angeles,Catering,878844,293559
Q1 2023,Finance,Los Angeles,Transportation,481047,264189
Q1 2023,Finance,Los Angeles,Legal Fees,660347,118208
Q1 2023,Finance,Seattle,Salaries,59871,637231
Q1 2023,Finance,Seattle,Office Supplies,940903,800088
Q1 2023,Finance,Seattle,Travel,129391,318598
Q1 2023,Finance,Seattle,Training,440430,491583
Q1 2023,Finance,Seattle,Equipment,611704,842613
Q1 2023,Finance,Seattle,Utilities,857703,670808
Q1 2023,Finance,Seattle,Miscellaneous,831496,787596
Q1 2023,Finance,Seattle,Marketing,257687,997950
Q1 2023,Finance,Seattle,Consulting,726451,465510
Q1 2023,Finance,Seattle,Maintenance,108450,1073920
Q1 2023,Finance,Seattle,Software Licenses,172890,721875
Q1 2023,Finance,Seattle,Healthcare,439741,70209
Q1 2023,Finance,Seattle,Security,282974,1001410
Q1 2023,Finance,Seattle,Catering,935933,522798
Q1 2023,Finance,Seattle,Transportation,401109,376703
Q1 2023,Finance,Seattle,Legal Fees,117381,726156
Q1 2023,Finance,Austin,Salaries,474125,590976
Q1 2023,Finance,Austin,Office Supplies,572621,187967
Q1 2023,Finance,Austin,Travel,135508,5307
Q1 2023,Finance,Austin,Training,730650,1093364
Q1 2023,Finance,Austin,Equipment,863645,361365
Q1 2023,Finance,Austin,Utilities,400111,673025
Q1 2023,Finance,Austin,Miscellaneous,151810,28013
Q1 2023,Finance,Austin,Marketing,293890,974258
Q1 2023,Finance,Austin,Consulting,574665,398493
Q1 2023,Finance,Austin,Maintenance,966908,519528
Q1 2023,Finance,Austin,Software Licenses,841477,1062131
Q1 2023,Finance,Austin,Healthcare,361032,235932
Q1 2023,Finance,Austin,Security,958294,405270
Q1 2023,Finance,Austin,Catering,370599,135890
Q1 2023,Finance,Austin,Transportation,661960,792424
Q1 2023,Finance,Austin,Legal Fees,751020,789247
Q1 2023,Finance,Miami,Salaries,880611,895386
Q1 2023,Finance,Miami,Office Supplies,172836,725076
Q1 2023,Finance,Miami,Travel,730903,856538
Q1 2023,Finance,Miami,Training,46714,1055205
Q1 2023,Finance,Miami,Equipment,975339,898683
Q1 2023,Finance,Miami,Utilities,628234,212953
Q1 2023,Finance,Miami,Miscellaneous,897048,281207
Q1 2023,Finance,Miami,Marketing,631271,759836
Q1 2023,Finance,Miami,Consulting,467960,447276
Q1 2023,Finance,Miami,Maintenance,712851,485227
Q1 2023,Finance,Miami,Software Licenses,125123,321362
Q1 2023,Finance,Miami,Healthcare,937093,525236
Q1 2023,Finance,Miami,Security,306628,920058
Q1 2023,Finance,Miami,Catering,83989,598002
Q1 2023,Finance,Miami,Transportation,299356,193393
Q1 2023,Finance,Miami,Legal Fees,830957,341259
Q1 2023,Finance,Denver,Salaries,179274,972848
Q1 2023,Finance,Denver,Office Supplies,688995,10595
Q1 2023,Finance,Denver,Travel,326352,983164
Q1 2023,Finance,Denver,Training,821260,628195
Q1 2023,Finance,Denver,Equipment,412927,314473
Q1 2023,Finance,Denver,Utilities,790852,752738
Q1 2023,Finance,Denver,Miscellaneous,884184,11809
Q1 2023,Finance,Denver,Marketing,132373,178968
Q1 2023,Finance,Denver,Consulting,439452,390713
Q1 2023,Finance,Denver,Maintenance,116294,331128
Q1 2023,Finance,Denver,Software Licenses,460451,434097
Q1 2023,Finance,Denver,Healthcare,972744,215509
Q1 2023,Finance,Denver,Security,649307,963616
Q1 2023,Finance,Denver,Catering,66726,612316
Q1 2023,Finance,Denver,Transportation,142564,860175
Q1 2023,Finance,Denver,Legal Fees,378812,1001094
Q1 2023,Marketing,New York,Salaries,269246,947784
Q1 2023,Marketing,New York,Office Supplies,706696,189010
Q1 2023,Marketing,New York,Travel,119015,746542
Q1 2023,Marketing,New York,Training,741674,178065
Q1 2023,Marketing,New York,Equipment,255079,848590
Q1 2023,Marketing,New York,Utilities,551929,940421
Q1 2023,Marketing,New York,Miscellaneous,690944,190928
Q1 2023,Marketing,New York,Marketing,689105,580094
Q1 2023,Marketing,New York,Consulting,514758,248818
Q1 2023,Marketing,New York,Maintenance,941597,985625
Q1 2023,Marketing,New York,Software Licenses,984609,833030
Q1 2023,Marketing,New York,Healthcare,366890,817409
Q1 2023,Marketing,New York,Security,446101,390966
Q1 2023,Marketing,New York,Catering,37631,516431
Q1 2023,Marketing,New York,Transportation,767577,1092389
Q1 2023,Marketing,New York,Legal Fees,73991,385584
Q1 2023,Marketing,San Francisco,Salaries,5014,879635
Q1 2023,Marketing,San Francisco,Office Supplies,274237,439398
Q1 2023,Marketing,San Francisco,Travel,19070,624378
Q1 2023,Marketing,San Francisco,Training,823209,1073518
Q1 2023,Marketing,San Francisco,Equipment,57958,373133
Q1 2023,Marketing,San Francisco,Utilities,83074,894764
Q1 2023,Marketing,San Francisco,Miscellaneous,536017,935594
Q1 2023,Marketing,San Francisco,Marketing,756073,989339
Q1 2023,Marketing,San Francisco,Consulting,177089,132236
Q1 2023,Marketing,San Francisco,Maintenance,198392,844153
Q1 2023,Marketing,San Francisco,Software Licenses,159823,282741
Q1 2023,Marketing,San Francisco,Healthcare,631152,309244
Q1 2023,Marketing,San Francisco,Security,394002,16905
Q1 2023,Marketing,San Francisco,Catering,734429,664099
Q1 2023,Marketing,San Francisco,Transportation,499863,604560
Q1 2023,Marketing,San Francisco,Legal Fees,368654,698189
Q1 2023,Marketing,Chicago,Salaries,580036,78897
Q1 2023,Marketing,Chicago,Office Supplies,531089,262474
Q1 2023,Marketing,Chicago,Travel,151262,142319
Q1 2023,Marketing,Chicago,Training,443905,47740
Q1 2023,Marketing,Chicago,Equipment,236362,734107
Q1 2023,Marketing,Chicago,Utilities,445209,85801
Q1 2023,Marketing,Chicago,Miscellaneous,554880,752958
Q1 2023,Marketing,Chicago,Marketing,798079,752059
Q1 2023,Marketing,Chicago,Consulting,665076,1057304
Q1 2023,Marketing,Chicago,Maintenance,220963,347797
Q1 2023,Marketing,Chicago,Software Licenses,481761,639702
Q1 2023,Marketing,Chicago,Healthcare,249710,118317
